Entreprise|||Lien|||Contact|||Localisation|||Ville|||Collège|||Activités
DERAC|||https://www.derac.eu/|||genevieve.deviller@derac.eu|||not provided|||Marseille|||PME|||Ressources biologiques marines---Environnement et valorisation du littoral
DIGINEXT|||https://www.diginext.fr/|||gilles.rigal@diginext.fr|||Provence-Alpes-Côte d'Azur|||Aix-en-Provence|||Groupe|||Défense, Sécurité et sûreté maritimes
DORIS ENGINEERING ING PETROLIERE|||not provided|||fevrier.c@doriseng.com|||Ile-de-France|||not provided|||Groupe|||Ressources énergétiques et minières marines
DV DEVELOPMENT|||https://www.linkedin.com/in/davidvallee/|||vallee.david@outlook.com|||not provided|||not provided|||Ecosystème|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
EARL CAMBON ET FILS|||http://la-perle-de-thau.com|||la.perle.de.thau@wanadoo.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Mèze|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines
ECA Robotics|||https://www.ecagroup.com/|||gg@eca.fr|||Provence-Alpes-Côte d'Azur|||La Garde|||Groupe|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
ECOCEAN|||https://www.ecocean.fr/|||ecocean_label@yahoo.com|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines
Ecole Nationale Supérieure Maritime|||https://www.supmaritime.fr/|||cyrille.le-camus@supmaritime.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
ECOSLOPS SA|||http://ecoslops.com|||info.esa@ecoslops.com|||not provided|||not provided|||PME|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ECOTRANSAT|||http://ecotransat.com/|||g.melon@ecotransat.com|||Languedoc-Roussillon-Midi-Pyrénées|||Sète|||PME|||Naval et nautisme---Environnement et valorisation du littoral
ECPY|||http://ecpy.org/|||info@ecpy.org|||not provided|||Nice|||Ecosystème|||Naval et nautisme
EDF|||https://www.edf.fr/|||jean-philippe.cassagneau@edf.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ressources énergétiques et minières marines
EDF EN|||https://www.edf-renouvelables.com/|||philippe.veyan@edf-en.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ressources énergétiques et minières marines
EFINOR MEDITERRANEE|||http://www.efinor.com|||contact@efinor.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
EIFFAGE Construction Métallique|||https://www.eiffageinfrastructures.com/|||adevillepin@eiffel.eiffage.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ressources énergétiques et minières marines
EM SYNERGIES|||http://www.emsynergies.com|||contact@emsynergies.com|||Provence-Alpes-Côte d'Azur|||Le Tignet|||PME|||Défense, Sécurité et sûreté maritimes---Ports, logistique et transports maritimes
EMC3|||http://www.emc3-fr.com/|||elisabeth.bouillet@emc3-fr.com|||Provence-Alpes-Côte d'Azur|||La Garde|||PME|||Ressources énergétiques et minières marines
EMERGEN'SEA|||http://www.emergensea.fr|||sbony@emergensea.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
EMYG Environnement et Aquaculture|||https://www.emygaqua.com/|||contact@emygaqua.com|||Provence-Alpes-Côte d'Azur|||Carnoux en Provence|||PME|||Ressources biologiques marines---Environnement et valorisation du littoral
ENDEL ENGIE|||http://www.endel-engie.fr/|||not provided|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
ENEDIS Bouche-du-Rhône|||https://www.enedis.fr/|||not provided|||not provided|||not provided|||not provided|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ENEDIS Var|||https://www.enedis.fr/|||not provided|||not provided|||not provided|||not provided|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ENGIE GREEN|||https://www.engie.fr/green/|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||Groupe|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ENNOVIA|||https://ennovia.fr/|||contact@ennovia.fr|||not provided|||Toulon|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
ENOGIA|||http://enogia.com/|||info@enogia.com|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
ENSTA ParisTech|||https://www.ensta-paristech.fr/|||entreprises@ensta-paristech.fr|||Ile-de-France|||Palaiseau|||Centre de recherche et de formation|||Ressources énergétiques et minières marines
ENVISAN France|||http://www.envisan.com/fr|||commercial@envisan.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
EOLFI|||https://www.eolfi.com/fr|||gp@eolfi.com|||Ile-de-France|||Paris|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
EPCOTS|||http://epcots.fr/|||bertrand.garcia@epcots.fr|||Provence-Alpes-Côte d'Azur|||La Garde|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
ERG HOLDING|||http://www.erg-sa.fr/|||la-seyne@erg-sa.fr|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||Groupe|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
ETMF|||https://www.eiffageinfrastructures.com/eiffage-genie-civil|||not provided|||not provided|||Vélizy-Villacoublay|||Groupe|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
ETOP INTERNATIONAL|||https://www.scalian.com/|||dpo@scalian.com|||not provided|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
EUREVIA|||http://eurevia.com/|||cmanuel@eurevia.com|||not provided|||La Ciotat|||PME|||Naval et nautisme---Ports, logistique et transports maritimes
Euro Techniques Industries|||http://www.eti-group.fr/|||contact@eti-group.fr|||Provence-Alpes-Côte d'Azur|||Gémenos|||PME|||Ressources énergétiques et minières marines
Eurofins Hydrobiologie France|||https://eurofins.fr/environnement/|||not provided|||not provided|||not provided|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
EVI MOTORS/Evidence Engineering|||http://www.evimotors.com/|||contact@evimotors.com|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Naval et nautisme
EVOLEN|||https://www.evolen.org/|||claude.bouty@hotmail.fr|||Ile-de-France|||La Défense|||Ecosystème|||Ressources énergétiques et minières marines
EXAVISION|||http://exavision.com/|||nascimben@exavision.com|||Languedoc-Roussillon-Midi-Pyrénées|||Milhaud|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
EXPIRIS|||http://www.expiris.fr/|||contact@expiris.fr|||Provence-Alpes-Côte d'Azur|||Marignane|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Extrem Vision|||http://extrem-vision.com/fr/|||stephane.gouverneur@orange.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Rivesaltes|||PME|||Défense, Sécurité et sûreté maritimes
FERMES AQUACOLES DE TAMARIS|||not provided|||o.otto@wanadoo.fr|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Ressources biologiques marines---Environnement et valorisation du littoral
Financière OROLIA|||https://www.orolia.com/|||not provided|||not provided|||Les Ulis|||PME|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
FinX|||https://finxmotors.com/|||eugenie.guillemin@finxmotors.com|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
FLODIM|||https://www.flodim.fr/fr/|||flodim@wanadoo.fr|||Provence-Alpes-Côte d'Azur|||Manosque|||PME|||Ressources énergétiques et minières marines
FLUIDION SAS|||http://www.fluidion.com|||contact@fluidion.com|||Ile-de-France|||Paris|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
FMES-FONDATION MEDITERRANEENNE d'ETUDES STRATEGIQUES|||http://fmes-france.org/|||info@fmes-France.org|||Provence-Alpes-Côte d'Azur|||Toulon|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
FORTIL|||https://www.fortil.fr/fr/|||olivier.remini@fortil.fr|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
France Energie Eolienne|||https://fee.asso.fr/|||lucas.robin-chevallier@fee.asso.fr|||Ile-de-France|||Paris|||Ecosystème|||Ressources énergétiques et minières marines
FUEL SAVE|||https://fuelsave-global.com/|||not provided|||not provided|||not provided|||not provided|||Naval et nautisme---Ressources énergétiques et minières marines
GAC GROUP|||http://www.group-gac.com/|||contact@group-gac.com|||Ile-de-France|||Issy-les-Moulineaux|||Ecosystème|||Défense, Sécurité et sûreté maritimes
GAZ MEDITERRANEE DÉVELOPPEMENT|||not provided|||jjm.ferrier@gmail.com|||not provided|||not provided|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
GAZOCEAN|||http://www.gazocean.com/fr/|||jean-francois.castel@gazocean.com|||Provence-Alpes-Côte d'Azur|||Marseille|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
GENWAVES|||http://www.genwaves.fr|||group@genwaves.fr|||Provence-Alpes-Côte d'Azur|||La Ciotat|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
GEOCORAIL|||http://www.geocorail.com/|||nicolas.verjat@geocorail.fr|||Ile-de-France|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
GEOMATYS|||https://www.geomatys.com/fr/|||contact@geomatys.com|||not provided|||Arles|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources biologiques marines---Environnement et valorisation du littoral
GEOSCIENCES AZUR|||https://geoazur.oca.eu|||direction@geoazur.unice.fr|||Provence-Alpes-Côte d'Azur|||Sophia-Antipolis|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
GEOSCIENCES MONTPELLIER|||http://www.gm.univ-montp2.fr/|||dirgm@gm.univ-montp2.fr|||not provided|||Montpellier|||Centre de recherche et de formation|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
GICAN|||https://www.gican.asso.fr/|||fabrice.theobald@gican.fr|||Ile-de-France|||Paris|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
GIS POSIDONIE|||https://gisposidonie.osupytheas.fr/|||gis@com.univ-mrs.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes
GLOBOCEAN|||http://www.globocean.fr/|||denis.bonicel@globocean.fr|||Provence-Alpes-Côte d'Azur|||Draguignan|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
GLORYTECH|||https://glorytech.io/|||contact@glorytech.io|||Ile-de-France|||not provided|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
GMPRO|||not provided|||gmprocontact@gmail.com|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral
Grand Port de Marseille|||not provided|||not provided|||Provence-Alpes-Côte d'Azur|||Marseille|||not provided|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
Grand Port Maritime de Marseille|||https://www.marseille-port.fr|||gpmm@marseille-port.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Groupe|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
GRANT THORNTON|||https://www.grantthornton.fr/|||rene.mouren@fr.gt.com|||Provence-Alpes-Côte d'Azur|||not provided|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
GREEN CITY Organisation|||not provided|||gcorganisation.sas@gmail.com|||not provided|||not provided|||PME|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
GREENMODAL/CMA CGM|||http://www.greenmodal.eu/|||sylvain.prevot@greenmodal.eu|||Provence-Alpes-Côte d'Azur|||Marseille|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
GREENSEA|||http://greensea.fr/|||greensea@greensea.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Mèze|||PME|||Ressources biologiques marines
GROUPE COSMOPTER|||http://cosmopter.com|||not provided|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
GSEA Design|||https://www.gseadesign.com/|||contact@gseadesign.com|||not provided|||Lorient|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
HELMGALE|||http://helmgale.com/home/|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
HOLOSUD|||https://www.groupebarba.fr/|||herve.barba@groupebarba.com|||not provided|||not provided|||PME|||Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
HOMEPULSE-WATTGO|||https://www.homepulse.fr|||not provided|||not provided|||Aix-en-Provence|||PME|||Naval et nautisme---Ports, logistique et transports maritimes
HUDDLE CORP|||http://www.huddlefeed.com/|||not provided|||not provided|||Cébazat|||PME|||Ressources biologiques marines
HYDROPTIC|||not provided|||jerome.coindat@hydroptic.com|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines---Environnement et valorisation du littoral
HYDROPTIC|||http://www.hydroptic.com/|||sales@hydroptic.com|||not provided|||L'Isle-Jourdain|||PME|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines---Environnement et valorisation du littoral
HYSEAS ENERGY|||http://www.hyseas-energy.com|||info@hyseas-energy.com|||Provence-Alpes-Côte d'Azur|||Cannes|||PME|||Naval et nautisme
I SEA|||http://www.i-sea.fr|||info@i-sea.fr|||Nouvelle-Aquitaine|||not provided|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
IADYS|||https://www.iadys.com|||contact@iadys.com|||Provence-Alpes-Côte d'Azur|||Roquefort-la-Bédoule|||PME|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
IDEOL|||https://www.ideol-offshore.com/fr|||gueriviere@ideol-offshore.com|||Provence-Alpes-Côte d'Azur|||La Ciotat|||PME|||Ressources énergétiques et minières marines
IES UMR 5214|||http://www.ies.univ-montp2.fr/|||direction@ies.univ-montp2.fr|||not provided|||Montpellier|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
IFP EN|||https://www.ifpenergiesnouvelles.fr/|||webmestre@ifpen.fr|||Ile-de-France|||Rueil-Malmaison|||Centre de recherche et de formation|||Ressources énergétiques et minières marines
IFREMER MEDITERRANEE/Département Ressources halieutiques|||https://www.ifremer.fr/|||gerard.riou@ifremer.fr|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||Centre de recherche et de formation|||Ressources biologiques marines
IFREMER MEDITERRANEE/Département systèmes sous-marins|||https://www.ifremer.fr/|||anny.laurantin@ifremer.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ressources biologiques marines
IFREMER MEDITERRANEE/Labo LER/PAC|||https://www.ifremer.fr/|||bruno.andral@ifremer.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Ressources énergétiques et minières marines
IFREMER MEDITERRANEE/Laboratoire Biologie des Organismes marins Exploités0|||https://www.ifremer.fr/|||gerard.riou@ifremer.fr|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||Centre de recherche et de formation|||Ressources biologiques marines
IMALIZE SAS|||http://imalize.com|||Contact@imalize.com|||Provence-Alpes-Côte d'Azur|||Roquefort-la-Bedoule|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
IMBE - Institut Méditerranéen de biodiversité et d'écologie marine et continentale (CNRS 7263)|||https://www.imbe.fr/|||thierry.tatoni@imbe.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Environnement et valorisation du littoral
IMPACT MER|||http://www.impact-mer.fr|||contact@impact-mer.fr|||not provided|||Fort-de-France|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
IMS|||https://ims-shipyard.com/|||d.pelligrino@ims-shipyard.com|||Provence-Alpes-Côte d'Azur|||Saint-Mandrier-sur-Mer|||PME|||Naval et nautisme---Ports, logistique et transports maritimes
IN SPACE|||http://www.inspace-institute.com/|||contact@inspace-institute.com|||Languedoc-Roussillon-Midi-Pyrénées|||Ramonville-Saint-Agne|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
INGELIANCE TECHNOLOGIES|||http://www.ingeliance.com/|||bordeaux@ingeliance.com|||not provided|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
INGEROP CONSEIL ET INGENIERIE|||http://www.ingerop.fr|||ingerop@ingerop.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Innovation Développement Environnement Economies|||https://www.ideeouest.fr/|||not provided|||not provided|||Saint-Crespin-sur-Moine|||Ecosystème|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
INOUid SAS|||http://www.inouid.com|||contact@inouid.com|||not provided|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
INPP-INSTITUT NATIONAL DE PLONGEE PROFESSIONNELLE|||not provided|||info@inpp.org|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
INRIA Sophia Antipolis Méditerranée - Service REV|||https://www.inria.fr/|||rev-ppi@sophia.inria.fr|||Provence-Alpes-Côte d'Azur|||Valbonne|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines---Environnement et valorisation du littoral
INSA Lyon - EEDMS|||https://www.insa-lyon.fr/|||plateforme.eedems@insavalor.fr|||Auvergne-Rhône-Alpes|||Villeurbanne|||Centre de recherche et de formation|||Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Institut de Biologie Environnementale et de Biotechnologie - UMR 7265|||http://www.cea.fr/|||gilles.peltier@cea.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Ressources biologiques marines
Institut de Chimie de Nice|||http://univ-cotedazur.fr|||Elisabet.Dunach-Clinet@unice.fr|||Provence-Alpes-Côte d'Azur|||Nice|||Centre de recherche et de formation|||Ressources énergétiques et minières marines
Institut de la Mer de Villefranche|||https://www.imev-mer.fr/|||not provided|||not provided|||Villefranche-sur-Mer|||Centre de recherche et de formation|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
Institut de régulation et d'automation (IRA)|||https://www.ira.eu/|||info@poleira.fr|||Provence-Alpes-Côte d'Azur|||Arles|||Centre de recherche et de formation|||Environnement et valorisation du littoral
Institut Méditerranéen d'Océanographie - MI0 (CNRS 7294)|||https://www.univ-amu.fr/|||richard.sempere@univ-amu.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines
INSTITUT OCEANOGRAPHIQUE PAUL RICARD|||https://www.institut-paul-ricard.org/|||embiez@institut-paul-ricard.org|||Provence-Alpes-Côte d'Azur|||Six-Fours-les-Plages|||Centre de recherche et de formation|||Ressources biologiques marines
INTEXPAT|||https://www.intexpat.com/|||direction@intexpat.com|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
IOTA SURVEY|||http://www.iota-survey.fr/|||marie-laure.bougier@iota-survey.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Clapiers|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
IRD (Institut de Recherche pour le Développement)|||https://www.ird.fr/|||stephane.raud@ird.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines
IRPHE/IOA-Equipe "INTERACTIONS OCEAN-ATMOSPHERE" / INSTITUT DE RECHERCHE SUR LES PHENOMENES HORS EQUILIBRE (UMR 7342)|||https://www.irphe.fr/|||branger@irphe.univ-mrs.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Centre de recherche et de formation|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
IRSN-Institut de Radioprotection et de Sûreté Nucléaire/LABORATOIRE D’ETUDES RADIOECOLOGIQUES EN MILIEU CONTINENTAL ET MARIN|||https://www.irsn.fr|||sabine.charmasson@irsn.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes
IRTS|||http://www.irts.fr|||IRTS@IRTS-PACACORSE.COM|||Provence-Alpes-Côte d'Azur|||Toulon|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
IUSTI - Institut universitaire des systèmes thermiques industriels UMR 7343|||https://iusti.cnrs.fr/|||direction@polytech.univ-mrs.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme
IXBLUE|||https://www.ixblue.com/|||bertrand.laubie@ixblue.com|||Ile-de-France|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
Jifmar Offshore Services|||http://www.jifmar.com|||not provided|||Provence-Alpes-Côte d'Azur|||Aix-en-Provence|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines
JPI Conseil|||http://www.jpi-conseil.fr|||contact@jpi-conseil.fr|||Provence-Alpes-Côte d'Azur|||Toulon|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
K-EPSILON|||http://www.k-epsilon.com|||yann@k-epsilon.com|||Provence-Alpes-Côte d'Azur|||Valbonne|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
KAPPA OFFSHORE SOLUTIONS|||not provided|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines
KEDGE Toulon|||not provided|||herve.gasiglia@euromed-management.com|||Provence-Alpes-Côte d'Azur|||Toulon|||Centre de recherche et de formation|||Naval et nautisme
KIETTA|||http://www.freecableseis.com/|||lvelay@kietta.com|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
KONTRON|||https://www.kontron.com/|||Serge.tissot@kontron.com|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
KREATIVE ex IGUACU|||https://kreativedecks.com/|||fabien@kreativedecks.com|||not provided|||Saint-Mandrier-sur-Mer|||PME|||Naval et nautisme
La Cordeille Formation|||http://esj-lacordeille.com/|||formation@esj-lacordeille.com|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Ressources énergétiques et minières marines
Laboratoire d'Informatique, de Robotique et de la Microélectronique de Montpellier (LIRMM)|||http://www.lirmm.fr|||cil@lirmm.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||Centre de recherche et de formation|||Ressources biologiques marines---Environnement et valorisation du littoral
Laboratoire de Mécanique et Génie Civil|||http://www.lmgc.univ-montp2.fr/|||not provided|||not provided|||not provided|||not provided|||Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
LABORATOIRE IGS - Iformation Génomique et Structurale UMR 7256|||https://www.igs.cnrs-mrs.fr/|||jean-michel.claverie@univmed.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Ressources biologiques marines---Environnement et valorisation du littoral
LABORATOIRE LMA-LABORATOIRE MECANIQUE ET ACOUSTIQUE / UPR 7051 CNRS|||http://www.lma.cnrs-mrs.fr/|||lma@lma.cnrs-mrs.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes
LABORATOIRE LSIS - CNRS UMR 7296|||https://www.lis-lab.fr/|||mustapha.ouladsine@lsis.org|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources biologiques marines
Lafarge Centre de Recherche SAS|||http://www.LafargeHolcim.com|||not provided|||Auvergne-Rhône-Alpes|||not provided|||Groupe|||Environnement et valorisation du littoral
LAPP MULLER|||https://lappmuller.lappgroup.com/|||e.palmas@mullercables.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Ressources énergétiques et minières marines
Leg@lis Conseil|||https://legalisconseil.com/|||not provided|||not provided|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
LEST/Laboratoire de sociologie et économie du travail - UMR 7317|||http://www.lest.cnrs.fr/|||ariel.mendez@univmed.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Naval et nautisme---Environnement et valorisation du littoral
Lheritier|||https://www.lheritier-alcen.com/|||info@lheritier-alcen.com|||not provided|||Cergy-Pontoise|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
Louis Dreyfus Travocean|||https://www.ldtravocean.fr/|||sgouillon@ldtravocean.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
