"Company, Link, Contact"
"IRSN-Institut de Radioprotection et de Sûreté Nucléaire/LABORATOIRE D’ETUDES RADIOECOLOGIQUES EN MILIEU CONTINENTAL ET MARIN,https://www.irsn.fr,sabine.charmasson@irsn.fr,"
"IRTS,http://www.irts.fr,IRTS@IRTS-PACACORSE.COM,"
"IUSTI - Institut universitaire des systèmes thermiques industriels UMR 7343,https://iusti.cnrs.fr/,direction@polytech.univ-mrs.fr,"
"IXBLUE,https://www.ixblue.com/,bertrand.laubie@ixblue.com,"
"Jifmar Offshore Services,http://www.jifmar.com,"
"JPI Conseil,http://www.jpi-conseil.fr,contact@jpi-conseil.fr,"
"K-EPSILON,http://www.k-epsilon.com,yann@k-epsilon.com,"
"KAPPA OFFSHORE SOLUTIONS,"
"KEDGE Toulon,herve.gasiglia@euromed-management.com,"
"KIETTA,http://www.freecableseis.com/,lvelay@kietta.com,"
"KONTRON,https://www.kontron.com/,Serge.tissot@kontron.com,"
"KREATIVE ex IGUACU,https://kreativedecks.com/,fabien@kreativedecks.com,"
"La Cordeille Formation,http://esj-lacordeille.com/,formation@esj-lacordeille.com,"
"Laboratoire d'Informatique, de Robotique et de la Microélectronique de Montpellier (LIRMM),http://www.lirmm.fr,cil@lirmm.fr,"
"Laboratoire de Mécanique et Génie Civil,http://www.lmgc.univ-montp2.fr/,"
"LABORATOIRE IGS - Iformation Génomique et Structurale UMR 7256,https://www.igs.cnrs-mrs.fr/,jean-michel.claverie@univmed.fr,"
"LABORATOIRE LMA-LABORATOIRE MECANIQUE ET ACOUSTIQUE / UPR 7051 CNRS,http://www.lma.cnrs-mrs.fr/,lma@lma.cnrs-mrs.fr,"
"LABORATOIRE LSIS - CNRS UMR 7296,https://www.lis-lab.fr/,mustapha.ouladsine@lsis.org,"
"Lafarge Centre de Recherche SAS,http://www.LafargeHolcim.com,"
"LAPP MULLER,https://lappmuller.lappgroup.com/,e.palmas@mullercables.com,"
"Leg@lis Conseil,https://legalisconseil.com/,"
"LEST/Laboratoire de sociologie et économie du travail - UMR 7317,http://www.lest.cnrs.fr/,ariel.mendez@univmed.fr,"
"Lheritier,https://www.lheritier-alcen.com/,info@lheritier-alcen.com,"
"Louis Dreyfus Travocean,https://www.ldtravocean.fr/,sgouillon@ldtravocean.com,"
"Lycée la Tourrache,https://www.lyceetourrache.com/,direction.latourrache@gmail.com,"
"MacArtney France,https://www.macartney.com,mac-fr@macartney.com,"
"MAGELLIUM SAS,http://www.magellium.com,contact@magellium.fr   ,"
"Mape Tech,https://www.mapetech.com/,mape.tech20@gmail.com,"
"MARBEC,http://www.umr-marbec.fr/,"
"MAREPOLIS,http://www.marepolis.fr,"
"MARINE ASSISTANCE,http://www.marine-assistance.com/contact/,contact@marine-assistance.com,"
"MARINE LEVAGE,http://www.marine-levage.com,cae@marine-levage.com,"
"Marine Logistics Solutions,https://marinelog-solution.fr/fr/,a.decarmejane@marinelog-solution.fr,"
"MARINE TECH,http://www.marinetech.fr,contact@marinetech.fr,"
"MARINOV,http://www.marinov.fr/,contact.info@marinov.fr,"
"Mariteam Services,https://www.mariteamservices.com/,contact@mariteamservices.com,"
"MArNostra Holding,http://www.marnostra.com/,"
"Marseille Architecture Partenaires,http://map-architecture.mapgroupe.fr/,"
"MARSEILLE GYPTIS INTERNATIONAL,https://www.mgi-ci5.com/,contact@gyptis.fr,"
"MAURIC,https://www.mauric.ecagroup.com/,b.mauric@wanadoo.fr,"
"MERCATOR OCEAN,http://www.mercator-ocean.fr/,communication@mercator-ocean.fr,"
"MGH ENERGY STORAGE,http://www.mgh-energy.com/,contact@mgh-energy.com,"
"MGPS,https://www.mgps.info/,christian.taormina@mgps.info,"
"MICROPHYT,http://www.microphyt.eu/,contact@microphyt.eu,"
"MOBILIS,http://mobilis-sa.com/,juniet@mobilis-sa.com,"
"MODIS,https://www.modisfrance.fr/,"
"MORPHOSENSE,https://morphosense.com/,"
"NATFresh Process SAS,http://www.eco-refroidissement.com,philipe.vitel@natfreshprocess.com,"
"Naturegie SAS,https://www.nuclearvalley.com/,"
"NAUTICSPOT,https://www.nauticspot.fr/,contact@nauticspot.fr,"
"NAUTINOV,https://www.nautinov.com/fr,"
"NAVAL ENERGIES ,https://www.naval-energies.com/fr/,"
"Naval group Site Ollioules,https://www.naval-group.com/fr/,"
"Naval Group Toulon,https://www.naval-group.com/fr/,"
"NEAC INDUSTRY,https://www.portdufutur.fr/,"
"NEMIS Ingénierie,https://www.groupe-fiva.com/,contact@groupe-fiva.com,"
"NEOCEAN,https://www.neocean.com/,vincentdufour@neocean.com,"
"NEPTUNEO MOBILITY,contact@nautiquelec.com,"
"NEREO TECHNOLOGIES ,contact@nereotech.com,"
"NEURO SYS ,https://www.neuro-sys.com/,info@neuro-sys.com,"
"NEX VISION SAS,http://nexvision.fr/fr/,jean-florian.bacquey@nexvision.fr,"
"3X Engineering,http://www.3xeng.com/,sbda@3xeng.com,"
"A CORROS,http://www.a-corros.fr,jbmemet@a-corros.fr,"
"A2V,http://www.aavessels.com,thierry.oneill@aavessels.com,"
"AA'ROK (TURGIS & GAILLARD),http://www.turgisetgaillard.fr/,contact@turgisetgaillard.fr,"
"ABYSS CAD,http://www.abysscad.com,contat@abysscad.com,"
"ACE Management,http://www.acemanagement.fr,gd@acemanagement.fr ,"
"ACQUA ECO,https://acqua.eco/,r.salza@acqua.eco,"
"ACRI IN,http://www.acri-in.fr,prb@acri.fr,"
"Actis Innovation,http://www.actis-innovation.com,thierry.semionoff-bru@actis-innovation.com,"
"AD'OCC,https://www.agence-adocc.com/,"
"ADER Méditerranée,https://www.ader-mediterranee.com/,a.buiguez@ader-mediterranee.com,"
"ADINVEST INTERNATIONAL,https://www.adinvest-international.eu ,contact@adinvest-international.eu,"
"OCERGIE SAS,https://www.ocergy.com/,ccermerlli@ocergy.com,"
"OL & DI Consulting,http://oldi.fr/,benjamin.lassalle@oldi.fr,"
"OONO ,http://www.oono.fr,contact@onoo.fr,"
"OOV – Laboratoire LOV,http://www.obs-vlfr.fr/,lov@obs-vlfr.fr,"
"Opération Maintenance Expertise (O&M.Ex),http://omex-sarl.e-monsite.com/,"
"OPSIA,https://www.opsia.fr,contact@opsia.fr ,"
"OPTIS,http://www.optis-world.com/fr,jdelacour@optis-world.com,"
"ORION NAVAL SOLUTIONS,http://www.orion-naval.solutions,contact@orion-naval.solutions,"
"ORPHEUS,http://www.orpheus.fr,hbarthel@orpheus.fr,"
"OSEAN,http://www.osean.fr/,olivier.philippe@osean.fr,"
"OSMOS GROUP,https://www.osmos-group.com/,info@osmos-group.com,"
"OTHIS Formation,https://othis-formation.fr/,contact@othis-formation.com,"
"Out There,http://out-there.fr,ariel.fuchs@out-there.fr,"
"OUTREMER YACHTING,http://www.catamaran-outremer.com,contact@catamaran-outremer.com,"
"P2A Développement,http://www.p2adev.com/,P2adev@wanadoo.fr,"
"PACIFICDROID,"
"PAIR WORK,https://pair-work.weebly.com,contact@pair-work.com,"
"Parc National Port Cros,http://www.portcros-parcnational.fr/,giulia.azzolini@portcros-parcnational.fr,"
"PERFECT MOORING,http://perfectmooring.com/,info@perfectmooring.com,"
"Petra Corsica Patrimonia,http://www.petrapatrimonia-corse.com/,contact@petrapatrimonia-corse.com,"
"PETRA MARITIMA,https://cde-petrapatrimonia.com/accueil,contact@cde-petrapatrimonia.com,"
"PHOTOSPACE,"
"PLANETE MER,http://www.planetemer.org/,"
"PLANITEC,https://www.planitec.setec.fr/,info@planitec.setec.fr,"
"POLE AVENIA,http://www.pole-avenia.com/,caroline.duc@pole-avenia.com,"
"PREDICT,https://www.predict.fr/,Jean-Baptiste.Leger@predict.fr,"
"PRINCIPIA RD,http://www.principia-group.com/,benoit.demoulliac@principia.fr,"
"PRINCIPLE POWER,http://www.principlepowerinc.com/,info@principlepowerinc.com       ,"
"PROLARGE,http://prolarge.fr,guillaume.d-arcimoles@prolarge.fr,"
"PROLEXIA,http://prolexia.fr/fr/,snicolas@prolexia.fr,"
"PROPULSION ENGINEERING,http://propulsion-engineering.fr,contact@propulsion-engineering.fr,"
"PURE OCEAN,https://www.pure-ocean.org,laura@pure-ocean.org,"
"PYTHEAS Technology,http://pytheas-technology.com/, contact@pytheas-technology.com,"
"Quadran Energies Marines,https://www.quadran-marines.com/,contact@quadran-marines.com,"
"QUINTESSENCE FORMATION,http://quintessence-formation.com/,s.sekkiou@quintessence-formation.com,"
"QUO VADIS,http://www.quovadis.pro/,diane.borgetto@quovadis.pro,"
"QWAM,http://www.qwamci.com/,info@qwamci.com,"
"RACINE,http://www.racinegroup.com/,daniel.cousin@racinegroup.com,"
"Radar Communication Services SARL,http://www.radar-communication-services.com,"
"RENAUD-GOUD conseil,http://www.renaudgoudconseil.com/,mail@renaudgoudconseil.com,"
"REP,http://www.rep.fr/,nicolas.tramier@rep.fr,"
"RIVAGE,rivage.c@free.com,"
"RTE Réseau de transport d’électricité,http://www.rte-france.com,jean-philippe.bonnet@rte-france.com ,"
"RTSYS,https://rtsys.eu/,sales@rtsys.fr,"
"SAFEGE,http://www.safege.fr,sabine.hugounenc@safege.fr,"
"SAFETY DATA - CFH,http://www.safety-data.com/,contact@safety-data.com,"
"SAFIM,https://www.safim.com/,a.gallone@safim.com,"
"SAILEAZY,https://www.saileazy.com/,contact@saileazy.com,"
"SAKOWIN SAS,https://www.naturegie.com/,gerard@naturegie.com,"
"SARL Les Poissons du Soleil,https://www.groupeaqualande.com/,aqualande@aqualande.com,"
"SARL SCOP RIVAGES,http://www.wavesnsee.com,"
"SB&CIE,http://www.salesbuilder.online/,patricksallen.upseed@gmail.com,"
"SBM FRANCE SAS,https://www.sbmoffshore.com/,contact@sbmoffshore.com,"
"SCHNEIDER ELECTRIC ,https://www.se.com/fr/fr/,"
"SCP Imavocats/Inglese,https://www.imavocats.fr/,contact@imavocats.fr,"
"SEA2,https://www.orange-marine.com/,gregory.florin@orange-marine.com,"
"SEABOOST,http://www.seaboost.fr/,contact@seaboost.fr,"
"SEAGNAL,http://www.seagnal.fr/,seagnal@seagnal.fr,"
"SEAMAGINE ECO NAVIGATION,http://www.seazen.fr,guillaume@seazen.fr,"
"SEANEO,https://www.seaneo.com/,nicolas.dalias@seaneo.com,"
"SEAREKA SAS,http://www.seareka.com,contact@seareka.com,"
"SEAROV offshore,http://www.searov-offshore.fr,contact@searov-offshore.com,"
"SEATECH,http://www.seatech.fr/,pierre.haldenwang@univ-tln.fr,"
"SEAVIEWS,http://www.viala@seaviews.fr,contact@seaviews.fr,"
"SEGULA Technologies,https://www.segulatechnologies.com/fr/,Emilie.dubos@segula.fr,"
"SEMANTIC TS,http://www.semantic-ts.fr/,noel@semantic-ts.fr,"
"SEPTENTRION ENVIRONNEMENT ,http://www.septentrion-env.com,contact@septentrion-env.com,"
"SERAMM,http://www.seram-metropole.fr/,"
"SERELEC,http://www.serelec-usinage.fr,serelec@wanadoo.fr,"
"SETAVOO,http://www.setavoo.fr/,contact@setavoo.fr,"
"SHOM,http://www.shom.fr,"
"SIGNALIS,https://www.signalis.com,fabien.sire@signalis.com,"
"SII,http://www.groupe-sii.com/fr,araguenet@sii.fr,"
"SIMEC,http://www.simec-technologies.com/,georges.denis.conigliaro@simec-sa.fr,"
"SINOPIA,http://www.sinopia.co.il/,info@sinopia.co.il,"
"SMAC,philippe.robert@smac.fr,"
"SMART LIGHTING ALLIANCE,contact@smartlightingalliance.org,"
"Smart Sailors,https://smartsailors.net/,contact@smartsailors.net,"
"SMAT NEPTUNE Environnement,https://www.ancrage-ecologique-harmony.fr/,neptune.env@wanadoo.fr,"
"SOACSY,http://www.soacsy.com/,pplantevin@soacsy.com,"
"SOCIETE DE CONSTRUCTIONS COMPOSITES,http://chantier-scc.com/,info@chantier-scc.com,"
"SODEAL,http://www.port-capdagde.com/,contact@sodeal.fr,"
"SOFRESUD,https://www.sofresud.com/,balhadef@sofresud.com,"
"SOGEDEV,https://www.sogedev.com/,alecki@sogedev.com,"
"SOLARINBLUE,https://www.solarinblue.com/,marc@solarinblue.com,"
"SONOVISION TOULON,https://www.sonovisiongroup.com/,jean-luc.delahaigue@sonovision-itep.fr,"
"SOPHIA CONSEIL,https://www.sophiaengineering.com/,"
"SOPROMEC,http://meca-sopromec.com/,direction@meca-sopromec.com,"
"SOSERSID,contact@sosersid.com,"
"SOUFFLEURS D'ECUME,contact@souffleursdecume.com,"
"STARTUPSERVICES,http://startupservices.fr,joel.ringot@startupservices.fr,"
"STAT MARINE SAS,http://www.stat-marine.com/,f.giraud@stat-marine.com,"
"STR Europe,biancardi@mettle.org,"
"STX France Etablissement de Toulon,https://chantiers-atlantique.com/fr/,"
"SUBCMARINE,http://www.subcmarine.com,contact@subcmarine.com,"
"SUBMARINE OPEN TECHNOLOGIES,http://www.submarine-open-technologies.com,chanzy.moira@submarine-open-technologies.fr,"
"SUBSEA TECH,https://www.subsea-tech.com/,yves.chardard@subsea-tech.com,"
"SUD PLAISANCE,http://www.sudplaisance.com,contact@sudplaisance.com,"
"SUPRAMECA,http://www.suprameca.com/,dominique.vinci@suprameca.com,"
"SYBER SUBSEA,https://www.sybersubsea.com/,sybersubsea@gamail.com,"
"SYROCO,https://syro.co/,contact@syro.co,"
"SYSAAF,https://www.sysaaf.fr/,sysaaf@inra.fr,"
"SYSTEMIQUE,http://www.systemique.fr/,m.cresp@systemique.fr,"
"TECHNIP ITC,https://technip.com/,athroo@technip.com,"
"TECHNIVUE,https://www.technivue.com/,stgruffat@technivue.com,"
"TECHVAR,http://www.techvar.fr/,philippe.casasnovas@techvar.fr,"
"TELERAD,http://www.telerad.fr,contact@telerad.fr,"
"TELESPAZIO,https://telespazio.fr,"
"TERRACOOPA,https://www.terracoopa.net,contact@terracoopa.com,"
"THALASEIS,http://thalaseis.com/,michel.manin@thalaseis.com,"
"THALES  SERVICES,https://www.thalesgroup.com/,contact.toulon@thalesgroup.com,"
"THALES ALENIA SPACE,claire-anne.reix@thalesaleniaspace.com,"
"THALES DMS,https://www.thalesgroup.com/,"
"The Blue Ocean Sailor Company,http://www.theblueoceansailorcompany.com/,thebos@theblueoceansailorcompany.com,"
"The Maritime Alliance,http://www.themaritimealliance.org/,mbjones@themaritimealliance.org,"
"The Seasteading Institute,https://www.seasteading.org/,info@seasteading.org ,"
"TMI-ORION,https://www.tmi-orion.com/fr/,"
"TOPLINK Innovation,https://www.toplink-innovation.fr/,alorenzi@toplink-innovation.fr,"
"TOPP DECIDE,http://topp-decide.com/,olivier.pillard@topp-decide.com,"
"Total Développement Régional,https://www.developpement-regional.total.fr/,"
"TRANSAS Méditerranée / Wärtsilä Voyage Méditerranean,https://transas.com/,Eric.Durand@transas.com,"
"TRANSMETAL INDUSTRIES,http://www.transmetal-industrie.com/,contact@transmetal-industrie.com,"
"TUITO,http://www.tuito.fr,contact@tuito.fr,"
"UFO,http://ufo-groupe.com/,xpillet@wanadoo.fr,"
"UIMM Provence Alpes,https://uimmalpesmediterranee.fr/,serge.bornarel@uimmprovence.fr,"
"UMR TETIS,https://www.umr-tetis.fr/,Directeurtetis@teledetection.fr,"
"UMS Pytheas (UMS 3470),https://www.osupytheas.fr/,ivan.dekeyser@univ-amu.fr,"
"Union des Villes Portuaires d'Occitanie,uvpo.contact@gmail.com,"
"Université d'Aix Marseille,https://www.univ-amu.fr/,presidence@univ-amu.fr,"
"Université de Montpellier (UM),http://www.umontpellier.fr/,"
"Université de Toulon,michel.durampart@univ-tln.fr,"
"Université de Toulon  - IMATH,http://imath.fr/,imath@univ-tln.fr,"
"Université de Toulon - LABORATOIRE CPT/ UMR 7332,http://www.cpt.univ-mrs.fr/,catherine.levet@cpt.univ-mrs.fr,"
"Université de Toulon - LABORATOIRE I3M,aurelie.patoz@univ-tln.fr,"
"Université de Toulon - LABORATOIRE IM2NP/Institut des Matériaux, de Microélectronique et des Nanosciences de Provence UMR 7334,https://www.im2np.fr/,virginie.gandolfo@univ-tln.fr,"
"Université de Toulon - LABORATOIRE MAPIEM,http://mapiem.univ-tln.fr/,directeur.mapiem@univ-tln.fr,"
"Université de Toulon - LABORATOIRE MIO / UMR 7294,https://www.mio.osupytheas.fr/,fabienne.chan@univ-tln.fr,"
"UNS - ECOMERS,http://ecoseas.unice.fr/,patrice.francour@unice.fr,"
"UNS - LABORATOIRE I3S (Informatique, Signaux et Systèmes),http://i3s.unice.fr/,direction@i3s.unice.fr,"
"UNS - LADIE,http://univ-cotedazur.fr/labs/ladie/fr#.XcU-qVVKiUk,joelle.maume@univ-cotedazur.fr,"
"UNS - UNIVERSITE DE NICE SOPHIA ANTIPOLIS,http://unice.fr/,philippe.charvis@oca.eu,"
"URMA/IPFM-INSTITUT DE PROMOTION ET DE FORMATION AUX METIERS DE LA MER  ,https://www.urma-paca.fr/,urma.laseyne@cmar-paca.fr,"
"VALECO Ingénierie,https://groupevaleco.com,contact@groupevaleco.com,"
"VALEOL,http://valeol.fr/,serge.gracia@valeol.fr,"
"VDSYS,https://www.vdsys.fr/,contact@vdsys.fr,"
"VEOLIA,https://www.veolia.com/,Marie-Christine.HUAU@veolia.com,"
"VIDAL DIFFUSION MARINE,http://www.vidalmarine.com,info@vidalmarine.com,"
"VIRTUAL DIVE,adinis@virtualdive.com,"
"VISIT SEABED,naiad@visitseabed.com,"
"VOXAYA,https://voxaya.com/,contact@voxaya.com,"
"VSM,https://www.vsm.fr/,benoit@vsm.fr,"
"WATTSON ELEMENTS,https://www.wefalco.fr/,contact@wefalco.fr,"
"YNCREA,https://yncrea.fr/,vEronique.casiez@isen.fr,"
